example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/lib/colors_spec.rb[1:1:1]                      | passed | 0.00006 seconds |
./spec/lib/colors_spec.rb[1:1:2]                      | passed | 0.00007 seconds |
./spec/lib/colors_spec.rb[1:1:3]                      | passed | 0.00007 seconds |
./spec/lib/colors_spec.rb[1:1:4]                      | passed | 0.00008 seconds |
./spec/lib/compositions/masteraverbaiter_spec.rb[1:1] | failed | 0.00097 seconds |
./spec/lib/compositions/masteraverbaiter_spec.rb[1:2] | passed | 0.00176 seconds |
./spec/lib/effects/core/pulse_spec.rb[1:1]            | passed | 0.00022 seconds |
./spec/lib/effects/core/pulse_spec.rb[1:2]            | passed | 0.00055 seconds |
./spec/lib/effects/core/pulse_spec.rb[1:3]            | passed | 0.00026 seconds |
./spec/lib/effects/core/pulse_spec.rb[1:4]            | passed | 0.00022 seconds |
./spec/lib/effects/core/pulse_spec.rb[1:5]            | failed | 0.00782 seconds |
./spec/lib/effects/core/wheel_spec.rb[1:1]            | passed | 0.00019 seconds |
./spec/lib/effects/core/wheel_spec.rb[1:2]            | passed | 0.00013 seconds |
./spec/lib/effects/core/wheel_spec.rb[1:3]            | passed | 0.00008 seconds |
./spec/lib/effects/core/wipe_spec.rb[1:1]             | passed | 0.00007 seconds |
./spec/lib/effects/meta/composition_spec.rb[1:1]      | passed | 0.00101 seconds |
./spec/lib/effects/meta/composition_spec.rb[1:2:1]    | passed | 0.00012 seconds |
./spec/lib/effects/meta/composition_spec.rb[1:2:2]    | passed | 0.00011 seconds |
./spec/lib/effects/meta/moving_spec.rb[1:1]           | passed | 0.0001 seconds  |
./spec/lib/effects/meta/moving_spec.rb[1:2]           | passed | 0.00007 seconds |
./spec/lib/effects/meta/moving_spec.rb[1:3]           | passed | 0.00011 seconds |
./spec/lib/effects/meta/moving_spec.rb[1:4]           | passed | 0.00007 seconds |
./spec/lib/effects/meta/moving_spec.rb[1:5]           | passed | 0.00008 seconds |
./spec/lib/effects/meta/moving_spec.rb[1:6]           | passed | 0.00012 seconds |
./spec/lib/effects_spec.rb[1:1]                       | passed | 0.00005 seconds |
./spec/lib/effects_spec.rb[1:2]                       | passed | 0.00004 seconds |
./spec/lib/effects_spec.rb[1:3]                       | passed | 0.00004 seconds |
